C Gunasekara;bowler;right;pace;Sri Lanka;0;0;0;0;0;0;7;0;0;0;0;0;
DN Wellalage;bowler;left;spin;Sri Lanka;0;56;14;0;57;21;41;170;36;1;44;18;
PM Liyanagamage;bowler;right;pace;Sri Lanka;0;42;3;0;6;1;0;15;0;0;3;0;
D Madushanka;bowler;right;pace;Sri Lanka;0;0;4;0;2;1;126;86;19;25;11;13;
MNK Fernando;batter;right;spin;Sri Lanka;0;16;0;73;18;0;0;12;0;0;0;0;
MADI Hemantha;allrounder;right;spin;Sri Lanka;0;0;14;0;0;9;0;91;3;0;19;3;
M Pathirana;bowler;right;pace;Sri Lanka;0;0;1;0;0;12;12;107;16;0;30;7;
SSD Arachchige;batter;left;spin;Sri Lanka;0;55;0;0;16;0;0;14;0;0;16;0;
TS Kamunhukamwe;batter;right;spin;Zimbabwe;0;19;0;56;18;0;0;0;0;0;0;0;
CJ Chibhabha;batter;right;pace;Zimbabwe;0;20;0;100;10;0;0;6;0;0;7;0;
RW Chakabva;batter;right;spin;Zimbabwe;25;317;8;173;202;14;0;0;0;0;0;0;
BRM Taylor;batter;right;spin;Zimbabwe;16;87;2;161;195;18;0;0;0;0;0;0;
W Madhevere;allrounder;right;spin;Zimbabwe;20;344;33;201;318;26;17;364;39;9;349;41;
Sikandar Raza;allrounder;right;spin;Zimbabwe;9;614;90;52;535;216;10;813;186;8;471;111;
R Mutumbami;batter;right;spin;Zimbabwe;0;17;3;0;13;0;0;0;0;0;0;0;
CT Mutombodzi;allrounder;right;spin;Zimbabwe;0;39;5;0;16;19;0;33;12;0;16;0;
DT Tiripano;bowler;right;pace;Zimbabwe;0;32;11;0;9;30;0;155;37;12;83;21;
CT Mumba;allrounder;right;pace;Zimbabwe;0;23;6;0;10;10;46;25;27;70;26;25;
CB Mpofu;bowler;right;pace;Zimbabwe;0;8;0;0;1;0;15;12;9;15;0;10;
SC Williams;batter;left;spin;Zimbabwe;25;567;29;107;412;83;0;438;63;0;205;15;
CK Tshuma;bowler;right;pace;Zimbabwe;0;0;0;0;0;1;22;10;12;14;2;7;
BB Chari;batter;right;spin;Zimbabwe;0;0;0;55;14;0;0;0;0;0;0;0;
CR Ervine;batter;left;spin;Zimbabwe;45;244;23;353;267;8;0;0;0;0;0;0;
TS Chisoro;bowler;left;spin;Zimbabwe;0;5;0;0;5;6;0;101;8;0;19;5;
R Ngarava;bowler;left;pace;Zimbabwe;0;64;12;0;45;51;391;327;219;272;155;106;
B Muzarabani;bowler;right;pace;Zimbabwe;0;28;26;0;10;71;408;267;201;216;155;65;
T Marumani;batter;left;spin;Zimbabwe;23;26;0;160;43;7;0;0;0;0;0;0;
D Myers;batter;right;pace;Zimbabwe;4;70;0;26;61;0;0;9;0;0;3;0;
RP Burl;batter;left;spin;Zimbabwe;0;334;48;7;207;97;0;383;12;0;111;2;
LM Jongwe;allrounder;right;pace;Zimbabwe;0;49;13;0;57;64;24;253;64;15;150;42;
TL Chatara;bowler;right;pace;Zimbabwe;0;40;17;0;7;41;283;242;122;81;73;51;
T Maruma;batter;right;spin;Zimbabwe;0;0;0;0;0;0;0;0;0;0;0;0;
